Rank,Ticker,Sector,Industry,Universe,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
1,HK.09688,保健/生物科技,生物科技,N/A,377.21,99,98,97,83
2,HK.01723,科技,電訊服務,N/A,374.09,99,99,9,26
3,HK.00059,地產,中國房地產,N/A,353.59,99,54,55,66
4,HK.06158,地產,中國房地產,N/A,328.41,99,99,70,77
5,HK.06958,地產,物業管理及代理,N/A,311.89,99,99,58,28
6,HK.01592,建築及建築材料,建築材料,N/A,311.66,99,99,85,1
7,HK.00767,金融證券,消費信貸及貸款融資,N/A,303.87,99,96,99,17
8,HK.08083,科技,電子商貿及互聯網服務,N/A,300.59,99,99,99,96
9,HK.08472,工業,環保產品及服務,N/A,293.89,99,0,6,2
10,HK.02216,保健/生物科技,生物科技,N/A,290.64,99,98,95,94
11,HK.01566,飲食/酒店/旅遊,酒店,N/A,290.56,99,99,99,82
12,HK.01865,建築及建築材料,建築,N/A,277.02,99,25,51,46
13,HK.02127,工業,家居耐用消費品,N/A,271.28,99,97,89,28
14,HK.06068,其他,綜合支援服務,N/A,261.45,99,99,99,97
15,HK.02599,地產,綜合地產,N/A,257.15,99,97,99,68
16,HK.00715,地產,中國房地產,N/A,257.04,99,99,46,84
17,HK.06609,保健/生物科技,生物科技,N/A,249.04,99,98,91,93
18,HK.02048,地產,物業管理及代理,N/A,248.52,99,98,86,99
19,HK.01773,其他,綜合支援服務,N/A,248.06,99,99,98,99
20,HK.01516,地產,物業管理及代理,N/A,243.17,99,98,97,64
21,HK.02158,保健/生物科技,醫療保健服務,N/A,243.02,99,98,95,95
22,HK.00339,金融證券,投資控股及資產管理,N/A,241.95,99,98,76,18
23,HK.01765,其他,綜合支援服務,N/A,241.17,99,94,95,85
24,HK.08091,影視/傳媒,廣告,N/A,241.07,99,98,11,3
25,HK.03603,地產,中國房地產,N/A,241.03,98,77,96,95
26,HK.00299,地產,中國房地產,N/A,239.62,98,99,99,94
27,HK.01282,綜合企業,綜合企業,N/A,239.59,98,93,84,62
28,HK.08513,保健/生物科技,醫療保健設備及用品,N/A,239.45,98,98,97,96
29,HK.00336,食品/飲料製造,綜合飲食製造,N/A,236.84,98,97,97,12
30,HK.08187,金融證券,消費信貸及貸款融資,N/A,233.0,98,99,99,23
31,HK.02168,地產,物業管理及代理,N/A,230.51,98,95,94,86
32,HK.06899,科技,軟件及資訊科技顧問,N/A,230.39,98,96,92,88
33,HK.00102,飲食/酒店/旅遊,賭場與賭博,N/A,228.48,98,99,99,94
34,HK.08056,飲食/酒店/旅遊,食肆,N/A,227.8,98,7,5,6
35,HK.01383,飲食/酒店/旅遊,旅遊,N/A,225.78,98,98,99,96
36,HK.01159,影視/傳媒,影視娛樂,N/A,222.94,98,97,94,91
37,HK.02192,保健/生物科技,醫療保健服務,N/A,222.74,98,99,96,18
38,HK.01769,其他,綜合支援服務,N/A,221.05,98,98,98,99
